,game_id,matchday,team_homes,team_aways,p_home_win,p_away_win,p_draw,p_home_score,p_away_score
268,2229194,30,Bologna,Atalanta,28.11,28.23,43.66,"[0.5710000000000001, 0.31700000000000006, 0.091, 0.015, 0.001, 0.0]","[0.5730000000000001, 0.31600000000000006, 0.089, 0.015, 0.002, 0.0]"
269,2229195,30,Cagliari,Milan,33.68,33.34,32.98,"[0.417, 0.36400000000000005, 0.161, 0.04700000000000001, 0.010000000000000002, 0.002]","[0.424, 0.36200000000000004, 0.158, 0.044000000000000004, 0.011, 0.002]"
270,2229196,30,Empoli,Verona,28.21,28.54,43.24,"[0.5700000000000001, 0.31900000000000006, 0.091, 0.018000000000000002, 0.003, 0.0]","[0.5680000000000001, 0.31800000000000006, 0.09499999999999999, 0.018000000000000002, 0.002, 0.0]"
271,2229197,30,Genoa,Torino,26.92,26.75,46.33,"[0.6020000000000001, 0.30700000000000005, 0.07600000000000001, 0.013000000000000001, 0.002, 0.0]","[0.605, 0.30300000000000005, 0.07800000000000001, 0.012, 0.002, 0.0]"
272,2229198,30,Inter,Fiorentina,38.07,38.38,23.55,"[0.21500000000000002, 0.329, 0.252, 0.13, 0.053000000000000005, 0.013999999999999999]","[0.21400000000000002, 0.327, 0.253, 0.13099999999999998, 0.051000000000000004, 0.017]"
273,2229199,30,Juventus,Salernitana,27.71,27.22,45.07,"[0.588, 0.31300000000000006, 0.083, 0.013000000000000001, 0.002, 0.0]","[0.592, 0.30700000000000005, 0.083, 0.015, 0.002, 0.0]"
274,2229200,30,Napoli,Udinese,31.18,30.48,38.34,"[0.507, 0.34299999999999997, 0.11800000000000001, 0.026, 0.005, 0.0]","[0.514, 0.33799999999999997, 0.117, 0.026, 0.004, 0.0]"
275,2229201,30,Roma,Lazio,37.47,36.75,25.78,"[0.259, 0.344, 0.23600000000000002, 0.108, 0.036000000000000004, 0.009000000000000001]","[0.259, 0.349, 0.232, 0.105, 0.036000000000000004, 0.011000000000000003]"
276,2229202,30,Sassuolo,Spezia,29.04,28.99,41.97,"[0.546, 0.33099999999999996, 0.10099999999999999, 0.020000000000000004, 0.003, 0.0]","[0.546, 0.32899999999999996, 0.09999999999999999, 0.023, 0.003, 0.0]"
277,2229203,30,Venezia,Sampdoria,24.66,25.26,50.07,"[0.647, 0.28500000000000003, 0.059, 0.010000000000000002, 0.001, 0.0]","[0.642, 0.28800000000000003, 0.061, 0.010000000000000002, 0.001, 0.0]"
278,2229204,31,Atalanta,Napoli,32.98,32.88,34.14,"[0.412, 0.36700000000000005, 0.159, 0.04800000000000001, 0.011, 0.002]","[0.415, 0.36400000000000005, 0.159, 0.04800000000000001, 0.011, 0.002]"
279,2229205,31,Fiorentina,Empoli,27.4,27.77,44.83,"[0.591, 0.31100000000000005, 0.08100000000000002, 0.014000000000000002, 0.002, 0.0]","[0.5890000000000001, 0.30700000000000005, 0.08600000000000001, 0.015, 0.002, 0.0]"
280,2229206,31,Verona,Genoa,30.92,30.16,38.92,"[0.501, 0.347, 0.12100000000000001, 0.026, 0.004, 0.0]","[0.507, 0.341, 0.11800000000000001, 0.028, 0.005, 0.0]"
281,2229207,31,Juventus,Inter,36.19,36.15,27.66,"[0.29800000000000004, 0.364, 0.212, 0.09, 0.027000000000000003, 0.005]","[0.29800000000000004, 0.36, 0.219, 0.086, 0.026000000000000002, 0.007]"
282,2229208,31,Lazio,Sassuolo,37.88,37.12,25.0,"[0.245, 0.34299999999999997, 0.24200000000000002, 0.111, 0.04000000000000001, 0.011]","[0.244, 0.35, 0.24200000000000002, 0.11, 0.036000000000000004, 0.010000000000000002]"
283,2229209,31,Milan,Bologna,29.23,28.73,42.04,"[0.545, 0.329, 0.10099999999999999, 0.019000000000000003, 0.003, 0.0]","[0.546, 0.33299999999999996, 0.097, 0.019000000000000003, 0.002, 0.0]"
284,2229210,31,Salernitana,Torino,30.3,30.29,39.4,"[0.507, 0.343, 0.11900000000000001, 0.024999999999999998, 0.004, 0.0]","[0.504, 0.348, 0.116, 0.026, 0.004, 0.0]"
285,2229211,31,Sampdoria,Roma,37.53,37.81,24.66,"[0.221, 0.334, 0.25, 0.125, 0.048, 0.016]","[0.226, 0.327, 0.24900000000000003, 0.13, 0.05, 0.012]"
286,2229212,31,Spezia,Venezia,26.03,25.89,48.08,"[0.625, 0.29200000000000004, 0.07, 0.010000000000000002, 0.001, 0.0]","[0.623, 0.29400000000000004, 0.07100000000000001, 0.009000000000000001, 0.001, 0.0]"
287,2229213,31,Udinese,Cagliari,31.49,31.85,36.67,"[0.47600000000000003, 0.34900000000000003, 0.133, 0.032, 0.008, 0.0]","[0.47200000000000003, 0.35500000000000004, 0.131, 0.033, 0.006, 0.001]"
288,2229214,32,Bologna,Sampdoria,30.06,29.62,40.31,"[0.523, 0.34199999999999997, 0.107, 0.024, 0.003, 0.0]","[0.528, 0.33799999999999997, 0.106, 0.024, 0.003, 0.0]"
289,2229215,32,Cagliari,Juventus,34.23,35.53,30.24,"[0.34900000000000003, 0.37500000000000006, 0.18600000000000003, 0.069, 0.016, 0.003]","[0.34600000000000003, 0.36900000000000005, 0.19600000000000004, 0.065, 0.018000000000000002, 0.004]"
290,2229216,32,Empoli,Spezia,27.23,26.78,45.99,"[0.6020000000000001, 0.30600000000000005, 0.07500000000000001, 0.013000000000000001, 0.001, 0.0]","[0.605, 0.30200000000000005, 0.07600000000000001, 0.013000000000000001, 0.001, 0.0]"
291,2229217,32,Genoa,Lazio,34.59,35.14,30.26,"[0.36300000000000004, 0.36500000000000005, 0.18700000000000003, 0.063, 0.017, 0.003]","[0.35900000000000004, 0.36300000000000004, 0.19200000000000003, 0.066, 0.016, 0.002]"
292,2229218,32,Inter,Verona,30.8,31.44,37.76,"[0.48700000000000004, 0.35200000000000004, 0.12400000000000001, 0.030000000000000002, 0.005, 0.0]","[0.48600000000000004, 0.34700000000000003, 0.13, 0.030000000000000002, 0.005, 0.0]"
293,2229219,32,Napoli,Fiorentina,37.2,37.28,25.52,"[0.25, 0.343, 0.24300000000000002, 0.106, 0.04, 0.010000000000000002]","[0.249, 0.342, 0.24200000000000002, 0.11, 0.03900000000000001, 0.010000000000000002]"
294,2229220,32,Roma,Salernitana,30.89,30.34,38.77,"[0.504, 0.344, 0.12100000000000001, 0.027, 0.004, 0.001]","[0.509, 0.34099999999999997, 0.11800000000000001, 0.027, 0.005, 0.001]"
295,2229221,32,Sassuolo,Atalanta,32.88,32.88,34.24,"[0.434, 0.36000000000000004, 0.15, 0.043000000000000003, 0.010000000000000002, 0.001]","[0.433, 0.35900000000000004, 0.154, 0.043000000000000003, 0.008, 0.001]"
296,2229222,32,Torino,Milan,36.15,36.0,27.84,"[0.31000000000000005, 0.35800000000000004, 0.21600000000000003, 0.084, 0.025, 0.005]","[0.30900000000000005, 0.35800000000000004, 0.21500000000000002, 0.084, 0.026, 0.006]"
297,2229223,32,Venezia,Udinese,32.95,33.23,33.83,"[0.428, 0.35900000000000004, 0.156, 0.046, 0.009000000000000001, 0.002]","[0.428, 0.36300000000000004, 0.153, 0.045000000000000005, 0.010000000000000002, 0.001]"
298,2229224,33,Atalanta,Verona,31.14,31.0,37.85,"[0.48700000000000004, 0.34700000000000003, 0.128, 0.031000000000000003, 0.006, 0.001]","[0.48600000000000004, 0.35000000000000003, 0.129, 0.030000000000000002, 0.005, 0.0]"
299,2229225,33,Cagliari,Sassuolo,37.49,37.13,25.37,"[0.24700000000000003, 0.345, 0.23800000000000002, 0.112, 0.038, 0.012]","[0.252, 0.341, 0.24300000000000002, 0.109, 0.039, 0.008]"
300,2229226,33,Fiorentina,Venezia,27.64,28.95,43.41,"[0.5810000000000001, 0.31300000000000006, 0.087, 0.016, 0.002, 0.0]","[0.5690000000000001, 0.32200000000000006, 0.09, 0.016, 0.002, 0.0]"
301,2229227,33,Juventus,Bologna,28.59,28.9,42.51,"[0.548, 0.33099999999999996, 0.09699999999999999, 0.019000000000000003, 0.003, 0.0]","[0.55, 0.32999999999999996, 0.09899999999999999, 0.017, 0.002, 0.0]"
302,2229228,33,Lazio,Torino,31.47,31.95,36.58,"[0.468, 0.35800000000000004, 0.134, 0.034, 0.006, 0.001]","[0.467, 0.35300000000000004, 0.137, 0.036, 0.007, 0.001]"
303,2229229,33,Milan,Genoa,31.92,31.54,36.54,"[0.46900000000000003, 0.35200000000000004, 0.136, 0.034, 0.007, 0.001]","[0.46900000000000003, 0.35700000000000004, 0.132, 0.034, 0.007, 0.0]"
304,2229230,33,Napoli,Roma,36.43,37.44,26.13,"[0.263, 0.355, 0.231, 0.105, 0.034, 0.008]","[0.258, 0.35, 0.23700000000000002, 0.104, 0.036000000000000004, 0.011000000000000003]"
305,2229231,33,Sampdoria,Salernitana,27.94,28.12,43.94,"[0.5800000000000001, 0.31400000000000006, 0.08700000000000001, 0.016, 0.002, 0.0]","[0.5790000000000001, 0.31500000000000006, 0.08700000000000001, 0.016, 0.002, 0.0]"
306,2229232,33,Spezia,Inter,36.2,37.1,26.7,"[0.28500000000000003, 0.349, 0.228, 0.09799999999999999, 0.029, 0.008]","[0.274, 0.359, 0.229, 0.096, 0.031999999999999994, 0.007]"
307,2229233,33,Udinese,Empoli,18.85,18.61,62.54,"[0.759, 0.20900000000000002, 0.03, 0.003, 0.0, 0.0]","[0.763, 0.20700000000000002, 0.028, 0.003, 0.0, 0.0]"
308,2229234,34,Bologna,Udinese,35.07,34.92,30.01,"[0.35900000000000004, 0.36600000000000005, 0.18800000000000003, 0.067, 0.017, 0.002]","[0.35800000000000004, 0.36700000000000005, 0.18700000000000003, 0.065, 0.019000000000000003, 0.003]"
309,2229235,34,Empoli,Napoli,33.83,33.34,32.82,"[0.399, 0.36900000000000005, 0.168, 0.048, 0.012, 0.002]","[0.406, 0.36600000000000005, 0.165, 0.048, 0.01, 0.003]"
310,2229236,34,Genoa,Cagliari,28.43,29.6,41.97,"[0.547, 0.33199999999999996, 0.09599999999999999, 0.019999999999999997, 0.003, 0.0]","[0.538, 0.33699999999999997, 0.09999999999999999, 0.019999999999999997, 0.003, 0.0]"
311,2229237,34,Verona,Sampdoria,31.59,30.96,37.45,"[0.48200000000000004, 0.34800000000000003, 0.132, 0.031, 0.006, 0.0]","[0.48700000000000004, 0.34700000000000003, 0.13, 0.029, 0.006, 0.0]"
312,2229238,34,Inter,Roma,31.62,31.85,36.53,"[0.457, 0.36000000000000004, 0.137, 0.036, 0.007, 0.001]","[0.453, 0.36400000000000005, 0.138, 0.037, 0.005, 0.001]"
313,2229239,34,Lazio,Milan,35.48,34.71,29.82,"[0.34900000000000003, 0.36500000000000005, 0.19800000000000004, 0.068, 0.016, 0.004]","[0.35300000000000004, 0.36900000000000005, 0.19400000000000003, 0.06199999999999999, 0.018000000000000002, 0.004]"
314,2229240,34,Salernitana,Fiorentina,35.49,35.98,28.52,"[0.327, 0.36500000000000005, 0.202, 0.07700000000000001, 0.02, 0.005]","[0.321, 0.36900000000000005, 0.202, 0.07900000000000001, 0.020000000000000004, 0.005]"
315,2229241,34,Sassuolo,Juventus,35.82,34.87,29.32,"[0.324, 0.36600000000000005, 0.202, 0.07800000000000001, 0.023, 0.005]","[0.325, 0.36900000000000005, 0.20400000000000001, 0.07600000000000001, 0.019000000000000003, 0.005]"
316,2229242,34,Torino,Spezia,28.68,28.64,42.68,"[0.556, 0.32699999999999996, 0.09399999999999999, 0.019000000000000003, 0.003, 0.0]","[0.559, 0.32399999999999995, 0.09599999999999999, 0.018000000000000002, 0.002, 0.0]"
317,2229243,34,Venezia,Atalanta,36.58,36.24,27.18,"[0.29700000000000004, 0.358, 0.22, 0.09, 0.025, 0.007]","[0.30200000000000005, 0.353, 0.224, 0.087, 0.026000000000000002, 0.005]"
318,2229244,35,Atalanta,Salernitana,24.61,24.68,50.71,"[0.646, 0.28200000000000003, 0.06, 0.009000000000000001, 0.001, 0.0]","[0.646, 0.28, 0.063, 0.008, 0.001, 0.0]"
319,2229245,35,Cagliari,Verona,36.39,36.84,26.77,"[0.268, 0.355, 0.23, 0.102, 0.031, 0.008]","[0.26099999999999995, 0.362, 0.231, 0.09799999999999999, 0.033, 0.009000000000000001]"
320,2229246,35,Empoli,Torino,32.72,32.19,35.09,"[0.444, 0.36200000000000004, 0.145, 0.04, 0.008, 0.002]","[0.448, 0.36100000000000004, 0.145, 0.039, 0.008, 0.0]"
321,2229247,35,Juventus,Venezia,21.91,22.22,55.87,"[0.7070000000000001, 0.244, 0.043000000000000003, 0.005, 0.0, 0.0]","[0.7040000000000001, 0.243, 0.046, 0.005, 0.001, 0.0]"
322,2229248,35,Milan,Fiorentina,32.39,31.89,35.73,"[0.455, 0.36200000000000004, 0.136, 0.036, 0.007, 0.002]","[0.46, 0.36100000000000004, 0.135, 0.036, 0.006, 0.0]"
323,2229249,35,Napoli,Sassuolo,34.73,33.87,31.41,"[0.38100000000000006, 0.37400000000000005, 0.17200000000000001, 0.056, 0.014000000000000002, 0.003]","[0.388, 0.36300000000000004, 0.17600000000000002, 0.057, 0.014000000000000002, 0.002]"
324,2229250,35,Roma,Bologna,30.0,29.68,40.32,"[0.521, 0.33899999999999997, 0.111, 0.024, 0.004, 0.0]","[0.523, 0.33899999999999997, 0.111, 0.023, 0.003, 0.0]"
325,2229251,35,Sampdoria,Genoa,25.47,25.55,48.98,"[0.637, 0.28900000000000003, 0.062, 0.010000000000000002, 0.002, 0.0]","[0.635, 0.28700000000000003, 0.067, 0.010000000000000002, 0.001, 0.0]"
326,2229252,35,Spezia,Lazio,35.23,36.73,28.04,"[0.30500000000000005, 0.359, 0.216, 0.086, 0.025, 0.006]","[0.29600000000000004, 0.355, 0.223, 0.088, 0.028999999999999998, 0.006]"
327,2229253,35,Udinese,Inter,37.55,37.43,25.02,"[0.24300000000000002, 0.338, 0.245, 0.114, 0.04100000000000001, 0.010000000000000002]","[0.24400000000000002, 0.342, 0.24400000000000002, 0.114, 0.037, 0.010000000000000002]"
328,2229254,36,Fiorentina,Roma,32.56,33.42,34.01,"[0.421, 0.36700000000000005, 0.155, 0.044000000000000004, 0.010000000000000002, 0.001]","[0.416, 0.36700000000000005, 0.158, 0.04700000000000001, 0.009000000000000001, 0.001]"
329,2229255,36,Genoa,Juventus,33.72,33.1,33.18,"[0.41100000000000003, 0.37200000000000005, 0.159, 0.045000000000000005, 0.009000000000000001, 0.002]","[0.41500000000000004, 0.36700000000000005, 0.16, 0.043000000000000003, 0.010000000000000002, 0.003]"
330,2229256,36,Verona,Milan,37.84,37.69,24.47,"[0.234, 0.337, 0.249, 0.117, 0.043000000000000003, 0.012]","[0.23700000000000002, 0.337, 0.247, 0.115, 0.044000000000000004, 0.012]"
331,2229257,36,Inter,Empoli,29.14,27.88,42.98,"[0.554, 0.32399999999999995, 0.09599999999999999, 0.021, 0.003, 0.0]","[0.5650000000000001, 0.32099999999999995, 0.094, 0.016, 0.002, 0.0]"
332,2229258,36,Lazio,Sampdoria,29.53,29.85,40.62,"[0.535, 0.33399999999999996, 0.107, 0.019999999999999997, 0.002, 0.0]","[0.528, 0.33899999999999997, 0.106, 0.020999999999999998, 0.004, 0.0]"
333,2229259,36,Salernitana,Cagliari,26.71,27.53,45.76,"[0.6020000000000001, 0.30400000000000005, 0.07900000000000001, 0.013000000000000001, 0.001, 0.0]","[0.593, 0.31200000000000006, 0.07900000000000001, 0.014000000000000002, 0.001, 0.0]"
334,2229260,36,Sassuolo,Udinese,35.84,35.83,28.34,"[0.33, 0.36700000000000005, 0.20600000000000002, 0.07400000000000001, 0.019000000000000003, 0.005]","[0.332, 0.36300000000000004, 0.20400000000000001, 0.07500000000000001, 0.022, 0.005]"
335,2229261,36,Spezia,Atalanta,38.71,39.19,22.1,"[0.17400000000000002, 0.3, 0.262, 0.157, 0.065, 0.025]","[0.17200000000000001, 0.297, 0.269, 0.151, 0.068, 0.026000000000000002]"
336,2229262,36,Torino,Napoli,33.72,34.52,31.76,"[0.38, 0.36700000000000005, 0.17900000000000002, 0.056999999999999995, 0.014000000000000002, 0.003]","[0.37600000000000006, 0.36700000000000005, 0.18200000000000002, 0.05700000000000001, 0.015, 0.003]"
337,2229263,36,Venezia,Bologna,32.14,32.45,35.41,"[0.45, 0.36200000000000004, 0.143, 0.037, 0.007, 0.0]","[0.446, 0.36200000000000004, 0.146, 0.036, 0.007, 0.002]"
338,2229264,37,Bologna,Sassuolo,34.17,34.78,31.05,"[0.37900000000000006, 0.36500000000000005, 0.18000000000000002, 0.059, 0.016, 0.003]","[0.37200000000000005, 0.37300000000000005, 0.18200000000000002, 0.05700000000000001, 0.014000000000000002, 0.004]"
339,2229265,37,Cagliari,Inter,36.56,37.28,26.16,"[0.266, 0.35, 0.233, 0.103, 0.034, 0.009000000000000001]","[0.259, 0.356, 0.23500000000000001, 0.103, 0.034, 0.008]"
340,2229266,37,Empoli,Salernitana,27.25,27.64,45.11,"[0.588, 0.31700000000000006, 0.07900000000000001, 0.015000000000000001, 0.002, 0.0]","[0.586, 0.31200000000000006, 0.08600000000000001, 0.015000000000000001, 0.002, 0.0]"
341,2229267,37,Verona,Torino,35.23,34.62,30.16,"[0.36400000000000005, 0.36700000000000005, 0.18600000000000003, 0.063, 0.017, 0.003]","[0.36600000000000005, 0.36600000000000005, 0.18700000000000003, 0.061, 0.017, 0.003]"
342,2229268,37,Juventus,Lazio,36.62,36.37,27.01,"[0.279, 0.361, 0.226, 0.092, 0.03, 0.009000000000000001]","[0.28400000000000003, 0.359, 0.225, 0.09299999999999999, 0.029, 0.007]"
343,2229269,37,Milan,Atalanta,39.03,39.68,21.29,"[0.15200000000000002, 0.28, 0.271, 0.169, 0.07400000000000001, 0.03]","[0.14900000000000002, 0.278, 0.269, 0.17500000000000002, 0.07900000000000001, 0.026000000000000002]"
344,2229270,37,Napoli,Genoa,30.25,29.68,40.08,"[0.521, 0.33699999999999997, 0.112, 0.023999999999999997, 0.003, 0.0]","[0.523, 0.33799999999999997, 0.111, 0.022, 0.003, 0.0]"
345,2229271,37,Roma,Venezia,24.91,25.52,49.58,"[0.646, 0.28, 0.064, 0.010000000000000002, 0.001, 0.0]","[0.639, 0.28900000000000003, 0.063, 0.010000000000000002, 0.0, 0.0]"
346,2229272,37,Sampdoria,Fiorentina,29.82,30.3,39.88,"[0.518, 0.33899999999999997, 0.112, 0.024999999999999998, 0.003, 0.0]","[0.511, 0.346, 0.111, 0.024999999999999998, 0.003, 0.001]"
347,2229273,37,Udinese,Spezia,27.05,27.99,44.96,"[0.5880000000000001, 0.31700000000000006, 0.08000000000000002, 0.013999999999999999, 0.001, 0.0]","[0.584, 0.31100000000000005, 0.08700000000000001, 0.016, 0.002, 0.0]"
348,2229274,38,Atalanta,Empoli,29.78,28.77,41.45,"[0.528, 0.34099999999999997, 0.103, 0.023, 0.005, 0.0]","[0.541, 0.33199999999999996, 0.103, 0.020999999999999998, 0.003, 0.0]"
349,2229275,38,Fiorentina,Juventus,34.24,34.88,30.88,"[0.36300000000000004, 0.37400000000000005, 0.17900000000000002, 0.063, 0.015000000000000003, 0.003]","[0.36000000000000004, 0.36800000000000005, 0.18900000000000003, 0.061, 0.016, 0.003]"
350,2229276,38,Genoa,Bologna,36.65,35.79,27.56,"[0.29300000000000004, 0.358, 0.22, 0.09, 0.028, 0.007]","[0.30000000000000004, 0.355, 0.219, 0.091, 0.026, 0.005]"
351,2229277,38,Inter,Sampdoria,27.43,26.81,45.76,"[0.59, 0.31300000000000006, 0.08, 0.016, 0.001, 0.0]","[0.596, 0.30800000000000005, 0.08000000000000002, 0.015, 0.001, 0.0]"
352,2229278,38,Lazio,Verona,36.91,37.1,25.99,"[0.27, 0.35, 0.228, 0.102, 0.037000000000000005, 0.009000000000000001]","[0.271, 0.351, 0.227, 0.104, 0.035, 0.008]"
353,2229279,38,Salernitana,Udinese,36.73,36.18,27.09,"[0.272, 0.357, 0.23399999999999999, 0.095, 0.030999999999999996, 0.008]","[0.273, 0.362, 0.228, 0.09799999999999999, 0.028, 0.008]"
354,2229280,38,Sassuolo,Milan,37.65,37.84,24.51,"[0.221, 0.336, 0.251, 0.12200000000000001, 0.046, 0.013999999999999999]","[0.225, 0.328, 0.255, 0.126, 0.042, 0.013999999999999999]"
355,2229281,38,Spezia,Napoli,34.23,34.67,31.09,"[0.37500000000000006, 0.36100000000000004, 0.18300000000000002, 0.06, 0.015, 0.003]","[0.37100000000000005, 0.36800000000000005, 0.18300000000000002, 0.05900000000000001, 0.014000000000000002, 0.002]"
356,2229282,38,Torino,Roma,32.59,30.83,36.59,"[0.467, 0.358, 0.136, 0.034, 0.005, 0.0]","[0.47800000000000004, 0.35600000000000004, 0.125, 0.033, 0.007, 0.001]"
357,2229283,38,Venezia,Cagliari,28.11,27.87,44.02,"[0.5760000000000001, 0.315, 0.09100000000000001, 0.015, 0.002, 0.0]","[0.5760000000000001, 0.318, 0.08700000000000001, 0.016, 0.002, 0.0]"
